Model,Accuracy,Precision,Recall,F1,AUC
MLPPlain,0.9813600719886875,0.010238907849829351,0.010238907849829351,0.010238907849829351,0.6939860520361828
MLPResNet,0.9813600719886875,0.010238907849829351,0.010238907849829351,0.010238907849829351,0.6968957625389224
MLPAttPlain,0.9813600719886875,0.010238907849829351,0.010238907849829351,0.010238907849829351,0.6975472861175097
MLPAttRes,0.9813600719886875,0.010238907849829351,0.010238907849829351,0.010238907849829351,0.697192070679014
CNN1DPlain,0.9813600719886875,0.010238907849829351,0.010238907849829351,0.010238907849829351,0.6961318500357485
CNN1DResNet,0.9813600719886875,0.010238907849829351,0.010238907849829351,0.010238907849829351,0.6973540657496247
NAF1DPlain,0.9813600719886875,0.010238907849829351,0.010238907849829351,0.010238907849829351,0.6970337849965548
NAF1DRes,0.9813600719886875,0.010238907849829351,0.010238907849829351,0.010238907849829351,0.696468020257467
