Model,R2,MAE,MSE
MLPPlain,0.9987962177767843,0.0039530426972279025,5.862202786433007e-05
MLPResNet,0.9990572800744228,0.003936367635503867,4.5908763794345305e-05
MLPAttPlain,0.9999096559926295,0.0014682679982190225,4.399590569881254e-06
MLPAttRes,0.9999535321393881,0.0010629011272234523,2.262901185155494e-06
CNN1DPlain,0.9997500511227125,0.0024421532127324804,1.2172060499333002e-05
CNN1DResNet,0.999776536386428,0.0023488042808121447,1.088227582102498e-05
NAF1DPlain,0.9998036809826488,0.0020741217133617208,9.560382836283864e-06
NAF1DRes,0.9998006477346216,0.002104725111774561,9.708096556374943e-06
