Model,risk@1%,risk@3%,risk@5%,risk@10%,risk@20%
MLPPlain,0.00964630225080386,0.028938906752411574,0.02572347266881029,0.020893603342976536,0.021050940061063797
MLPResNet,0.00964630225080386,0.027867095391211148,0.02508038585209003,0.020572163291546125,0.021211634260003213
MLPAttPlain,0.00964630225080386,0.030010718113612004,0.02572347266881029,0.020893603342976536,0.020890245862124377
MLPAttRes,0.00964630225080386,0.030010718113612004,0.02572347266881029,0.020250723240115717,0.021050940061063797
CNN1DPlain,0.00964630225080386,0.031082529474812434,0.02572347266881029,0.020893603342976536,0.020890245862124377
CNN1DResNet,0.00964630225080386,0.028938906752411574,0.02572347266881029,0.021215043394406944,0.021050940061063797
NAF1DPlain,0.00964630225080386,0.031082529474812434,0.02572347266881029,0.021536483445837352,0.021050940061063797
NAF1DRes,0.00964630225080386,0.031082529474812434,0.02572347266881029,0.020893603342976536,0.020890245862124377
