Model,Accuracy,Precision,Recall,F1,AUC
QNN_Bottleneck,0.9813600719886875,0.010238907849829351,0.010238907849829351,0.010238907849829351,0.6946331464945895
QNN_QuantumTail,0.9812957963748554,0.006825938566552901,0.006825938566552901,0.006825938566552901,0.690154309439817
QNN_FixedMap,0.9813600719886875,0.010238907849829351,0.010238907849829351,0.010238907849829351,0.6937926102122889
QNN_FixedMap_QuantumTail,0.9812315207610233,0.0034129692832764505,0.0034129692832764505,0.0034129692832764505,0.687109953683583
