Model,risk@1%,risk@3%,risk@5%,risk@10%,risk@20%
QNN_Bottleneck,0.00964630225080386,0.031082529474812434,0.02572347266881029,0.020250723240115717,0.02056885746424554
QNN_QuantumTail,0.00964630225080386,0.027867095391211148,0.02829581993569132,0.021536483445837352,0.020086774867427284
QNN_FixedMap,0.00964630225080386,0.02572347266881029,0.02508038585209003,0.020893603342976536,0.019926080668487868
QNN_FixedMap_QuantumTail,0.00964630225080386,0.030010718113612004,0.02765273311897106,0.020893603342976536,0.02040816326530612
